name,version,variant,arch,os,filename,date,size,checksum
nginx,1.26.3,,aarch64,linux,nginx-1.26.3-aarch64-linux,2025-11-16T01:47:33Z,6189864,sha1:3a99d2e64ab7e464ecf59c1e3b82f42aeffb4e3f
nginx,1.26.3,,arm64,darwin,nginx-1.26.3-arm64-darwin,2025-11-16T01:47:33Z,6130200,sha1:e2b3e0cd3056dea9432451972787ade283cbab01
nginx,1.26.3,,ppc64le,linux,nginx-1.26.3-ppc64le-linux,2025-11-16T01:47:33Z,6386752,sha1:d5e12d479b04b385852359d65a28cdd61856cfe6
nginx,1.26.3,,x86_64,linux,nginx-1.26.3-x86_64-linux,2025-11-16T01:47:33Z,6560288,sha1:4f364b8d4393a175d8a859fb2fde93fcda2d6001
nginx,1.26.3,,x86_64,win32,nginx-1.26.3-x86_64-win32.exe,2025-12-14T02:01:06Z,4795392,sha1:463e2c3c04afe97dfabec0f84f2269923bf869a8
nginx,1.27.5,,aarch64,linux,nginx-1.27.5-aarch64-linux,2025-11-16T01:47:33Z,6265128,sha1:77d4043e4bdf8a4918e5dcabb277774c8b7c0738
nginx,1.27.5,,arm64,darwin,nginx-1.27.5-arm64-darwin,2025-11-16T01:47:33Z,6196984,sha1:90402a2d269ade9db97edb5279ffba0c8bbf5ae2
nginx,1.27.5,,ppc64le,linux,nginx-1.27.5-ppc64le-linux,2025-11-16T01:47:33Z,6462000,sha1:200f6339c0b514264f8d7abe177765931cb81d1c
nginx,1.27.5,,x86_64,linux,nginx-1.27.5-x86_64-linux,2025-11-16T01:47:33Z,6615040,sha1:b8ab61e93a72758cc7391adebe11f3d2cf3f34e4
nginx,1.27.5,,x86_64,win32,nginx-1.27.5-x86_64-win32.exe,2025-12-14T02:01:06Z,4812800,sha1:bd9eb612e26d3a468f3111718b9d3b2181b16d52
nginx,1.28.0,,aarch64,linux,nginx-1.28.0-aarch64-linux,2025-11-16T01:47:33Z,6265128,sha1:9458409c30e4c01560a0dcea4fadfa51682cef9d
nginx,1.28.0,,arm64,darwin,nginx-1.28.0-arm64-darwin,2025-11-16T01:47:33Z,6196984,sha1:dd4d1f7a5bb45c17dd7921aed6056d7dfc60af80
nginx,1.28.0,,ppc64le,linux,nginx-1.28.0-ppc64le-linux,2025-11-16T01:47:33Z,6462000,sha1:d4be602c425e705ac3ee15322a005374bd14cfc6
nginx,1.28.0,,x86_64,linux,nginx-1.28.0-x86_64-linux,2025-11-16T01:47:33Z,6615040,sha1:48b36e4324dee3202139d7c167425f1e1ac55311
nginx,1.28.0,,x86_64,win32,nginx-1.28.0-x86_64-win32.exe,2025-12-14T02:01:05Z,4812800,sha1:d11a15688fe9442a143fa00d3f4cbaf95c6ff3c3
njs,0.9.1,,aarch64,linux,njs-0.9.1-aarch64-linux,2025-09-21T01:41:26Z,4721160,sha1:27595034a86f0f5cb0844f081bf8a0a83c385adc
njs,0.9.1,,arm64,darwin,njs-0.9.1-arm64-darwin,2025-09-21T01:41:26Z,4503264,sha1:22dfb5f965340a6d103b465441e037014e37be7c
njs,0.9.1,debug,aarch64,linux,njs-0.9.1-debug-aarch64-linux,2025-09-21T01:41:27Z,17769464,sha1:4a84fbf090cc405ea1eca6ebdd17e4b5b11c519e
njs,0.9.1,debug,arm64,darwin,njs-0.9.1-debug-arm64-darwin,2025-09-21T01:41:27Z,5487760,sha1:725ef2a0646bd5d12f76917403cfb6f3f426c82e
njs,0.9.1,debug,ppc64le,linux,njs-0.9.1-debug-ppc64le-linux,2025-09-21T01:41:27Z,17278896,sha1:52b56c9155b1fe36066c162a9fbe5b62ca292143
njs,0.9.1,debug,x86_64,linux,njs-0.9.1-debug-x86_64-linux,2025-09-21T01:41:27Z,18281920,sha1:2f3f389e577bc244ef16449b238a8e2365ff36a1
njs,0.9.1,,ppc64le,linux,njs-0.9.1-ppc64le-linux,2025-09-21T01:41:26Z,4721280,sha1:c9233c6274385b4e875efd6579fee0e3e4976826
njs,0.9.1,,x86_64,linux,njs-0.9.1-x86_64-linux,2025-09-21T01:41:27Z,5113152,sha1:ac48399702f73debb90bd1a73b2de4a1db70f078
njs,0.9.2,,aarch64,linux,njs-0.9.2-aarch64-linux,2025-10-05T01:43:26Z,4721160,sha1:0738cb3badebaef3e1a8203f2f58d41dbcb4d75d
njs,0.9.2,,arm64,darwin,njs-0.9.2-arm64-darwin,2025-09-28T01:42:45Z,4503264,sha1:3aff4cde96378cdb8abb0bb2a508a999ca369631
njs,0.9.2,debug,aarch64,linux,njs-0.9.2-debug-aarch64-linux,2025-10-05T01:43:26Z,17767264,sha1:b10e61334a7d4d403ca62d2ce2bb44e0f11370ed
njs,0.9.2,debug,arm64,darwin,njs-0.9.2-debug-arm64-darwin,2025-09-28T01:42:45Z,5487568,sha1:5a8b031f20ab7814db024c2e38bc890896dda64f
njs,0.9.2,debug,ppc64le,linux,njs-0.9.2-debug-ppc64le-linux,2025-10-05T01:43:26Z,17281304,sha1:80b73e5e2f4791d71ee89febb9868d8cfaa9c5a4
njs,0.9.2,debug,x86_64,linux,njs-0.9.2-debug-x86_64-linux,2025-10-05T01:43:26Z,18284104,sha1:c75e35025aa251be84056a51fa69f0f51c081193
njs,0.9.2,,ppc64le,linux,njs-0.9.2-ppc64le-linux,2025-10-05T01:43:26Z,4721280,sha1:432a5a93420a017c2488a8723b0a7b314f4f8f92
njs,0.9.2,,x86_64,linux,njs-0.9.2-x86_64-linux,2025-10-05T01:43:26Z,5113152,sha1:adafffd418c4dc26ce1db756a05cf400314fc794
njs,0.9.3,,aarch64,linux,njs-0.9.3-aarch64-linux,2025-10-12T01:40:06Z,4721160,sha1:e03c2eb2c81320c1d1a584fd959230bf19262cf1
njs,0.9.3,,arm64,darwin,njs-0.9.3-arm64-darwin,2025-10-12T01:40:06Z,4503264,sha1:fe0ee46ef8a8b128ba1d983c9070aa85f189a62b
njs,0.9.3,debug,aarch64,linux,njs-0.9.3-debug-aarch64-linux,2025-10-12T01:40:06Z,17767272,sha1:973735ea7df91ff9d8137cce5db7acf977c07b86
njs,0.9.3,debug,arm64,darwin,njs-0.9.3-debug-arm64-darwin,2025-10-12T01:40:06Z,5487568,sha1:47ec6d76a5bbeafe9392a9fe47172a4f48992aeb
njs,0.9.3,debug,ppc64le,linux,njs-0.9.3-debug-ppc64le-linux,2025-10-12T01:40:06Z,17281320,sha1:86bfca8f1b5486d12ccfc3a687e9b32c19aa5263
njs,0.9.3,debug,x86_64,linux,njs-0.9.3-debug-x86_64-linux,2025-10-12T01:40:06Z,18284104,sha1:4653fff5acc228c01df1d2b77186e1f719dd2c7e
njs,0.9.3,,ppc64le,linux,njs-0.9.3-ppc64le-linux,2025-10-12T01:40:06Z,4721280,sha1:618dad302eb790b47f2cad9eeb77fe239b6ecdce
njs,0.9.3,,x86_64,linux,njs-0.9.3-x86_64-linux,2025-10-12T01:40:06Z,5113152,sha1:bad76f78590bc0e1d9f8665c1268e2f3e02285a8
